lem,index,token,stem,pos,counts
news,4301,news,news,NN,35
navy,3334,navy,navi,NN,35
splatter,13559,splatter,splatter,NN,35
slavery,1122,slavery,slaveri,NN,35
filmmaker,5891,filmmaker,filmmak,NN,34
voyeurism,1398,voyeurism,voyeur,NN,34
estate,3975,estate,estat,NN,34
state,309,state,state,NN,34
onenight,24225,onenight,onenight,NN,34
union,4921,union,union,NN,34
search,11462,search,search,NN,34
underworld,13992,underworld,underworld,NN,34
rap,2665,rap,rap,NN,34
arrest,13370,arrest,arrest,NN,34
lord,1813,lord,lord,NN,34
yakuza,1938,yakuza,yakuza,NN,34
widow,7277,widow,widow,NN,34
issue,1090,issues,issu,NN,34
west,6059,west,west,NN,34
deception,21672,deception,decept,NN,34
denmark,7878,denmark,denmark,NN,34
psychiatrist,3449,psychiatrist,psychiatrist,NN,34
tragic,6893,tragic,tragic,NN,34
step,828,step,step,NN,34
journalism,1345,journalism,journal,NN,33
